.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-92.11942047219748,47.45558642530981,-1.9411712595140707,0.05287712891343345
Regression,total_starts_lag6,-0.08373297974167761,0.02446725704680914,-3.4222462935459093,6.792655308638036e-4
Regression,total_comps_lag3,0.1736273877444744,0.03134596707821385,5.539066231749772,5.2477994638329396e-8
Regression,vacancy_rt_lag6,-28.110690485458786,3.284748778789164,-8.557942289827428,1.9451144853265173e-16
Regression,trs10yr_rt_lag12,-19.304824441172517,4.690726924332449,-4.115529373716386,4.614741559280386e-5
Regression,frm30yr_rt_lag3,12.140559480130745,4.096244227049076,2.9638270589341236,0.0032037230714261696
Regression,ppi_lag3,2.5126827919704025,0.11408477368839413,22.02469892111482,5.840797705878712e-73
Regression,hmi_lag24,2.737191576439395,0.36075864619166614,7.587320790047434,1.971918866046824e-13
Pure ar(1),ar1,0.5555272555421763,0.03877362830112854,14.327450895948449,6.871639901012946e-39
Pure ar(1),month_1,0.19528165411857798,1.0196371068458443,0.19152074086697787,0.84820034260398
Pure ar(1),month_2,0.30986452104674234,1.682035286009421,0.18421998850088736,0.8539203349772856
Pure ar(1),month_3,-0.0751513021507786,2.16559814112168,-0.03470233037411719,0.9723318355062696
Pure ar(1),month_4,0.2226367597136802,2.494225868059486,0.08926086549126047,0.9289126174198723
Pure ar(1),month_5,0.11899362822767225,2.6871816547571155,0.044281944250779595,0.964698470885041
Pure ar(1),month_6,-0.1660961342966739,2.7528489037490886,-0.06033608821409288,0.9519136067165078
Pure ar(1),month_7,-0.10260208470324371,2.6933574633696886,-0.03809449213431816,0.96962851772121
Pure ar(1),month_8,-0.8125362273102203,2.5049420359839725,-0.3243732651845758,0.7457997694954572
Pure ar(1),month_9,-0.4891734778588013,2.177310604849988,-0.2246686700414543,0.8223346797136493
Pure ar(1),month_10,-0.47454519967923303,1.692298916825467,-0.2804145266306843,0.7792828771904481
Pure ar(1),month_11,0.14575782454124953,1.020908601453774,0.14277264814273322,0.8865309246642707
Pure ar(1),intercept,0.9843904010747577,0.651571928871096,1.5107931411046176,0.13151317154377004
ar(1) + All Factors,ar1,0.6120974385700062,0.03922249316970067,15.605775898071945,4.0192501517575773e-44
ar(1) + All Factors,total_starts_lag6,2.9773870028647055e-4,0.0021281401541791544,0.13990558831465283,0.8887977433575672
ar(1) + All Factors,total_comps_lag3,5.059786650674886e-4,0.002568815284320691,0.196969656851482,0.8439410103197358
ar(1) + All Factors,vacancy_rt_lag6,3.1970564493359395,1.4581949378742773,2.1924753448921814,0.028861159001396512
