.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-90.5066799330533,45.733270456672244,-1.979011757289465,0.048425190043299995
Regression,total_starts_lag6,-0.07699040324475806,0.023353394884878337,-3.2967542245693138,0.001055720018217648
Regression,total_comps_lag3,0.16056719583729673,0.02708811327401298,5.927588762386677,6.133477640863461e-9
Regression,vacancy_rt_lag6,-27.45758305365316,3.1505735202473435,-8.715106274205445,5.650659882802222e-17
Regression,trs10yr_rt_lag12,-19.784348023753687,4.523677267264612,-4.373510057165712,1.5213386192731389e-5
Regression,frm30yr_rt_lag3,12.450297281274185,4.0193867557604,3.097561403721847,0.002073554353575526
Regression,ppi_lag3,2.4833128334474837,0.09646041962523891,25.744371039390792,1.9318188005177896e-90
Regression,hmi_lag24,2.862967242732445,0.3039870611257547,9.418056255848601,2.427967908419011e-19
Pure ar(1),ar1,0.6087877945843216,0.036589326640955905,16.638398420343734,2.0671021690764478e-49
Pure ar(1),month_1,0.030216164971689868,1.0459733605781623,0.0288880827280227,0.9769658570029947
Pure ar(1),month_2,0.22946061889430022,1.75045523528766,0.13108625360339018,0.8957619977220137
Pure ar(1),month_3,0.0655850373273381,2.2738874315571094,0.028842693097796347,0.9770020387227186
Pure ar(1),month_4,0.534784610432647,2.6349518454002654,0.2029580204155154,0.8392538472754552
Pure ar(1),month_5,0.5544669203847283,2.847067373154934,0.19475019299255442,0.8456709166130517
Pure ar(1),month_6,0.5042689173693639,2.9181308756144793,0.17280544940027012,0.8628771943320086
Pure ar(1),month_7,0.8211829385672113,2.850670831283059,0.28806655947631976,0.7734201303543063
Pure ar(1),month_8,-0.15357264206102544,2.641837764272722,-0.058130989017526905,0.9536684820330257
Pure ar(1),month_9,-0.2764001780942189,2.2830874351616637,-0.12106421061121,0.9036908377353587
Pure ar(1),month_10,-0.4036572214661923,1.7594084245677244,-0.22942780984203162,0.8186341506753434
Pure ar(1),month_11,0.033580778214522045,1.0473346010094744,0.032063084884386694,0.9744350699113038
ar(1) + All Factors,ar1,0.6547424010668884,0.03677628204191832,17.803387528967725,3.225132657227248e-54
ar(1) + All Factors,total_starts_lag6,4.066169150801046e-4,0.0020984367619088446,0.19377134563265336,0.8464412099032199
ar(1) + All Factors,total_comps_lag3,1.0165947458371655e-5,0.0024891919792718936,0.004084035117831798,0.9967432065229166
ar(1) + All Factors,vacancy_rt_lag6,3.156592554019665,1.4644985672302837,2.155408427602312,0.03165253788991506
ar(1) + All Factors,trs10yr_rt_lag12,0.7769927067939583,0.9218510609454927,0.8428614335997389,0.3997478195008817
ar(1) + All Factors,frm30yr_rt_lag3,-2.5730951045045565,1.0803806993477978,-2.3816559348550728,0.017644314592869415
ar(1) + All Factors,ppi_lag3,0.1031433496056687,0.1883041143192048,0.5477487838148064,0.5841324162599499
ar(1) + All Factors,hmi_lag24,0.045906757096582367,0.06881994852624579,0.6670559638543606,0.5050737808688918
ar(1) + All Factors,month_1,0.10471481844722104,1.0638125043801354,0.09843352847994252,0.9216313056252068
ar(1) + All Factors,month_2,0.19979771793508155,1.7751772580242673,0.11255085486924948,0.9104361785325219
ar(1) + All Factors,month_3,0.02393928834576481,2.3129740756962462,0.01035000288040784,0.9917465664024152
ar(1) + All Factors,month_4,-0.24768271287900223,2.6624579155138557,-0.09302784146775869,0.925922300272187
ar(1) + All Factors,month_5,0.06040145844875071,2.8762125090488926,0.02100034620485129,0.9832545653268743
ar(1) + All Factors,month_6,0.2321258889733851,2.946783200226778,0.07877263890859741,0.9372480223059775
ar(1) + All Factors,month_7,0.4285438436582099,2.8852037288491816,0.14853157140107495,0.881988931657486
ar(1) + All Factors,month_8,-0.6341744408172415,2.674757328467909,-0.23709606627398017,0.8126887421769561
ar(1) + All Factors,month_9,-0.5956146546785804,2.3048613723869233,-0.2584166934351282,0.7962019306000258
ar(1) + All Factors,month_10,-0.48816901610722163,1.7556411214017515,-0.2780574060132826,0.7810943228742262
ar(1) + All Factors,month_11,0.0357056807409815,1.0329060265868186,0.03456817931343567,0.9724392018117334
