.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-69.96182603086929,45.36548302252032,-1.542181882999876,0.12372610374622764
Regression,total_starts_lag6,-0.07489755221041597,0.0233702058220674,-3.204830662624875,0.0014466779306589125
Regression,total_comps_lag3,0.15025724012514308,0.026759161919066864,5.615169883854972,3.425692232594846e-8
Regression,vacancy_rt_lag6,-27.268227420840326,3.158398596489241,-8.633561150625724,1.0143979575936735e-16
Regression,trs10yr_rt_lag12,-21.734755057564726,4.491796857764888,-4.838766254531802,1.793100529860629e-6
Regression,frm30yr_rt_lag3,13.072183737785037,4.029814676917092,3.243867221156081,0.0012662055931217566
Regression,ppi_lag3,2.3962899643721403,0.09167006505376525,26.14037595551717,1.4110665070793673e-92
Regression,hmi_lag24,3.036396653773365,0.2966688613707646,10.234969183296258,2.9184346709375815e-22
Pure ar(1),ar1,0.6049621689136222,0.03633001339010251,16.65185648069246,1.4318477513195896e-49
Pure ar(1),month_1,0.08674118885467216,1.0527593238513338,0.08239413025319488,0.9343672962915891
Pure ar(1),month_2,0.6633297835312005,1.7573883815755995,0.3774520137298776,0.7060028323287246
Pure ar(1),month_3,0.8763801285316652,2.278547620586474,0.3846222570086529,0.7006858947601474
Pure ar(1),month_4,1.3833150241463006,2.6379641397439677,0.5243873498146039,0.6002487280829509
Pure ar(1),month_5,1.0129371220646564,2.8506826483723033,0.35533142303406806,0.7224957963005728
Pure ar(1),month_6,0.6424399906669146,2.9256671381219292,0.21958751981584462,0.8262847989893131
Pure ar(1),month_7,0.7946796340857459,2.858627068841118,0.2779934615283369,0.7811358460671075
Pure ar(1),month_8,-0.2507988551536032,2.6503830848426473,-0.09462739804970233,0.9246498683198949
Pure ar(1),month_9,-0.3876997581968331,2.292291208299403,-0.16913198322845657,0.8657633441953754
Pure ar(1),month_10,-0.4950729489909658,1.7684574317775938,-0.2799462062783921,0.7796381322898108
Pure ar(1),month_11,-0.017798293231376258,1.0543548274386267,-0.01688074334008992,0.9865386970861956
ar(1) + All Factors,ar1,0.6516989098048427,0.03638512148323108,17.91113738908892,7.679334569539293e-55
ar(1) + All Factors,total_starts_lag6,6.476903732349272e-4,0.0021130470955109167,0.3065196107606495,0.7593474416841314
ar(1) + All Factors,total_comps_lag3,2.2088215080798547e-4,0.0025115225684869727,0.08794750785020915,0.9299565871450447
ar(1) + All Factors,vacancy_rt_lag6,3.1190630026943893,1.4831864285302017,2.102947372425257,0.036011858379910645
ar(1) + All Factors,trs10yr_rt_lag12,0.8618119041723721,0.9305578556345214,0.9261239362540512,0.3548661428427078
ar(1) + All Factors,frm30yr_rt_lag3,-2.50465061636171,1.0951917502505455,-2.2869516829255923,0.022651048046795217
ar(1) + All Factors,ppi_lag3,0.034401846372920826,0.18713199845083675,0.18383732690141108,0.8542219054004001
ar(1) + All Factors,hmi_lag24,0.03865389303681274,0.06944692952602512,0.556596141839896,0.5780734738480207
ar(1) + All Factors,month_1,0.11282692887241073,1.07516637317548,0.10493904170307979,0.9164698209421897
ar(1) + All Factors,month_2,0.5807684493451288,1.7886156429633653,0.32470276754536037,0.745553330348909
ar(1) + All Factors,month_3,0.8082898538903246,2.3286948232423135,0.3470999487880158,0.7286746285329107
ar(1) + All Factors,month_4,0.6640965803385163,2.6781057052362796,0.24797250498367668,0.8042660939883853
ar(1) + All Factors,month_5,0.5968281768584528,2.8922676637424436,0.20635302338725742,0.8366062657977454
ar(1) + All Factors,month_6,0.46356009428090467,2.9672157041184315,0.15622729875603356,0.8759222489904117
ar(1) + All Factors,month_7,0.4949127220557037,2.9054988724568624,0.17033657343573846,0.8648201788100072
ar(1) + All Factors,month_8,-0.6175070393435702,2.6951400387815525,-0.22911872127532912,0.8188782533480014
ar(1) + All Factors,month_9,-0.6128551675773594,2.3237912960235914,-0.263730726862632,0.7921052628682994
ar(1) + All Factors,month_10,-0.5354164091574637,1.771565325255076,-0.3022278668049526,0.7626146677093739
ar(1) + All Factors,month_11,-0.0031819527431494743,1.0434323062941782,-0.0030495056784760662,0.9975681694171766
Pure ar(2),ar1,0.4058612973350413,0.042735815102754815,9.496982714830185,9.86574882248541e-20
Pure ar(2),ar2,0.3348426507682511,0.043054400249851875,7.777199283350907,4.488560026346062e-14
Pure ar(2),month_1,0.11311996804254636,0.8891182751659842,0.12722713186997384,0.8988133624026897
Pure ar(2),month_2,0.7244083876742542,1.3558929105827597,0.5342666681271349,0.5934018560421364
Pure ar(2),month_3,0.984055448877564,1.7624395526967596,0.5583484820071317,0.5768641081904962
Pure ar(2),month_4,1.5470800824565791,2.044703435376385,0.7566281034646942,0.44964007772657255
Pure ar(2),month_5,1.2389367272153085,2.219206198273595,0.5582792298341291,0.5769113518917723
Pure ar(2),month_6,0.9348643818242127,2.2811395820482003,0.40982340106729126,0.6821164499383904
Pure ar(2),month_7,1.0634873266977447,2.2256907786661837,0.4778234860347822,0.6329911225090626
Pure ar(2),month_8,-0.04359628539276859,2.0542328866520485,-0.021222659648790367,0.9830767667448781
Pure ar(2),month_9,-0.2503370701979825,1.7721883669869078,-0.14125872557419394,0.8877242074409886
Pure ar(2),month_10,-0.42148490057445365,1.3628196855618946,-0.3092741505276057,0.7572458124445793
Pure ar(2),month_11,0.010863144420871995,0.8892317680442786,0.012216325159821633,0.990258048618471
ar(2) + All Factors,ar1,0.45542642265426714,0.0450093784121583,10.118478386523188,7.222861212898449e-22
ar(2) + All Factors,ar2,0.3081448991923467,0.04578500717904013,6.730257745452796,5.043190723721471e-11
ar(2) + All Factors,total_starts_lag6,6.903936562720651e-4,0.0022546146670094705,0.30621359222673994,0.7595802661379167
ar(2) + All Factors,total_comps_lag3,1.2903243314021177e-4,0.0027118865688922655,0.047580320880794856,0.9620713212155458
ar(2) + All Factors,vacancy_rt_lag6,1.9966390542067365,1.4895942192715101,1.3403912477474555,0.18077837129612376
ar(2) + All Factors,trs10yr_rt_lag12,0.0579915772362328,0.8983094508703428,0.06455634768180013,0.9485552250980989
ar(2) + All Factors,frm30yr_rt_lag3,-2.1865997921668487,1.0363335619627316,-2.1099382210739237,0.03540195587583317
ar(2) + All Factors,ppi_lag3,-0.0803853763507209,0.17319447761867313,-0.46413359973120805,0.6427711237024644
ar(2) + All Factors,hmi_lag24,-0.008782305532252599,0.06588950226008561,-0.1332883878464616,0.8940234731682981
ar(2) + All Factors,month_1,0.08694059569497226,0.922640527242293,0.09423019380563254,0.9249672415800192
