.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-78.93624815844082,45.43883444607565,-1.7371979083688442,0.0830319343740281
Regression,total_starts_lag6,-0.07329416699499983,0.023307272180645013,-3.144690911357069,0.0017719789188478966
Regression,total_comps_lag3,0.15051169611050927,0.026671599260383358,5.643144778876148,2.9474093180467046e-8
Regression,vacancy_rt_lag6,-27.147611383874548,3.1486058377563566,-8.62210539608841,1.1117686805645825e-16
Regression,trs10yr_rt_lag12,-20.972361567699867,4.493261859146639,-4.667513762859782,4.021320894522472e-6
Regression,frm30yr_rt_lag3,12.850602583793654,4.018111499938294,3.1981697332169605,0.0014799686258029473
Regression,ppi_lag3,2.4268873071022155,0.09264217758854312,26.196354298588332,9.230196652360949e-93
Regression,hmi_lag24,2.997724944577826,0.2963268336795049,10.116279067119665,7.953907181166209e-22
Pure ar(1),ar1,0.6017933334324408,0.036620530813245636,16.433222568548143,1.521647373562005e-48
Pure ar(1),month_1,0.0662016447894516,1.052983362637576,0.0628705515570785,0.9498955400773124
Pure ar(1),month_2,0.6202678864419064,1.7568090388744593,0.3530650587039873,0.7241933822049169
Pure ar(1),month_3,0.8094573037357986,2.277271089118928,0.3554505687107178,0.7224069256920438
Pure ar(1),month_4,1.2921868794399165,2.6364914651681404,0.4901160866672892,0.6242738462053081
Pure ar(1),month_5,0.897447514420373,2.849792667436897,0.3149167743587245,0.7529605638108753
Pure ar(1),month_6,0.617853876646101,2.9200386121903517,0.2115909954295578,0.8325152014923102
Pure ar(1),month_7,0.8163247852155171,2.8533131452777023,0.2860971592152628,0.7749261188371932
Pure ar(1),month_8,-0.2106704720212314,2.6464291215558253,-0.0796055599242269,0.9365838758501566
Pure ar(1),month_9,-0.3459997678555455,2.2898397191944775,-0.15110217756955568,0.8799580708331606
Pure ar(1),month_10,-0.46204214441790065,1.7674402883738627,-0.26141881423502206,0.7938807543071028
Pure ar(1),month_11,4.259792372639576e-4,1.0544806778816123,4.039706427999459e-4,0.9996778445153683
ar(1) + All Factors,ar1,0.6479187889324495,0.03693611633791189,17.541605701176927,4.042729889495153e-53
ar(1) + All Factors,total_starts_lag6,7.786145496480989e-4,0.002128382888708016,0.36582447349064073,0.7146642272207258
ar(1) + All Factors,total_comps_lag3,2.5450545145697286e-4,0.0025188884946745612,0.10103879230662602,0.9195636895228125
ar(1) + All Factors,vacancy_rt_lag6,3.103531950038292,1.4870671818167942,2.08701529291139,0.03743667705823573
ar(1) + All Factors,trs10yr_rt_lag12,0.8682803652548551,0.9326697568087634,0.9309622821112759,0.3523613933145706
ar(1) + All Factors,frm30yr_rt_lag3,-2.4933388473915654,1.0977832685660245,-2.271248723482988,0.023593184795560978
ar(1) + All Factors,ppi_lag3,0.05132961147178617,0.1891623190066726,0.271352200276079,0.7862418917026625
ar(1) + All Factors,hmi_lag24,0.04090407908488815,0.06969758177546889,0.5868794589841129,0.5575725770281772
ar(1) + All Factors,month_1,0.10374593134538247,1.0752970610881085,0.09648118189814495,0.9231804381257291
ar(1) + All Factors,month_2,0.5534338351523267,1.7874893019905358,0.3096151873670106,0.7569938084134956
ar(1) + All Factors,month_3,0.7588611099849902,2.3263617217471273,0.32620082375456033,0.7444207682134992
ar(1) + All Factors,month_4,0.5697214028653086,2.6760313938176203,0.2128978771256287,0.8315009331832235
ar(1) + All Factors,month_5,0.4617866553653189,2.8918534099911173,0.15968536087267898,0.8731990247152163
ar(1) + All Factors,month_6,0.40026708748513184,2.961818810988798,0.13514232741046822,0.8925584583835268
ar(1) + All Factors,month_7,0.4727006897131312,2.899887001862117,0.16300658936351448,0.8705848321643181
ar(1) + All Factors,month_8,-0.627395326865082,2.690569329145477,-0.23318311112404688,0.81572294485401
ar(1) + All Factors,month_9,-0.6080120860105951,2.320835622986837,-0.2619798145066836,0.7934542755409743
ar(1) + All Factors,month_10,-0.5215867256615478,1.7703078046596976,-0.2946305293851491,0.7684090534268562
ar(1) + All Factors,month_11,0.009401772240786574,1.0435618074677009,0.009009310395903471,0.9928156134020485
Pure ar(2),ar1,0.39991090076725605,0.04306198218910028,9.286866986547597,5.371665284562497e-19
Pure ar(2),ar2,0.3370479980136641,0.04309036780434104,7.821887238096607,3.288491151241348e-14
Pure ar(2),month_1,0.0885684150602702,0.8892368633951248,0.09960047621295653,0.9207027554749354
Pure ar(2),month_2,0.6692320581860667,1.3536041426629237,0.49440751331441496,0.6212427329052461
Pure ar(2),month_3,0.8939593784879075,1.7597992527665924,0.5079894067931373,0.6116921985452408
Pure ar(2),month_4,1.418050264420995,2.042112880102249,0.6944034672314456,0.4877623972711925
Pure ar(2),month_5,1.0685545015881182,2.217907028812906,0.48178507381350527,0.6301764045058262
Pure ar(2),month_6,0.8903732866344345,2.2745376141352396,0.39145243459644746,0.6956351187927574
Pure ar(2),month_7,1.04178222342677,2.21908785810846,0.4694641627730685,0.6389493141359212
Pure ar(2),month_8,-0.02706353854538856,2.0483082105993216,-0.013212630016002301,0.9894635976170782
Pure ar(2),month_9,-0.22463873736148107,1.7677442270903814,-0.12707649326125942,0.8989326323083799
Pure ar(2),month_10,-0.3936217766888365,1.3597940338946353,-0.2894716161987049,0.7723444548020673
Pure ar(2),month_11,0.028696992973664473,0.889196471438288,0.032272949674717756,0.974267685135114
ar(2) + All Factors,ar1,0.4482292485164996,0.04553397743888027,9.843841318675763,7.096098896732932e-21
ar(2) + All Factors,ar2,0.31116048433624166,0.04590686172635471,6.778082243805554,3.744304060274765e-11
ar(2) + All Factors,total_starts_lag6,9.265652954604198e-4,0.0022724205650063983,0.4077437555920952,0.6836515093296903
ar(2) + All Factors,total_comps_lag3,1.1767283756490932e-4,0.0027207887358514423,0.0432495312900819,0.9655213885553644
ar(2) + All Factors,vacancy_rt_lag6,1.9448687364622466,1.4932999173851853,1.3023966008568275,0.19343253609593908
ar(2) + All Factors,trs10yr_rt_lag12,0.036717055703562644,0.8997573570414803,0.04080773045779044,0.9674668819395889
ar(2) + All Factors,frm30yr_rt_lag3,-2.186522581147719,1.0370758463357588,-2.1083535875155466,0.035540597161332836
