.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-90.93849252410772,47.13311489005342,-1.9293970435910786,0.05432426753820824
Regression,total_starts_lag6,-0.08340492018050678,0.024400400554066507,-3.4181783202983826,6.890927946834326e-4
Regression,total_comps_lag3,0.17316529826628857,0.031249457519733296,5.541385739478478,5.177084255629929e-8
Regression,vacancy_rt_lag6,-28.119709734310163,3.2809885290342717,-8.570499252122328,1.761418728949765e-16
Regression,trs10yr_rt_lag12,-19.34689307388731,4.682206661676168,-4.132003235192822,4.305868984752613e-5
Regression,frm30yr_rt_lag3,12.115743359007094,4.0904545332159605,2.9619552694261495,0.0032224914335498853
Regression,ppi_lag3,2.5086619228845146,0.11264931389392252,22.26966002870487,4.001891324870413e-74
Regression,hmi_lag24,2.739156845325984,0.3602720973792786,7.603022452339183,1.7648116213873693e-13
Pure ar(1),ar1,0.5597895764476155,0.03841108287148869,14.573647359031611,5.6070850395656804e-40
Pure ar(1),month_1,0.21844568401521025,1.0198546374540975,0.21419296044044536,0.8304892820449102
Pure ar(1),month_2,0.3592359520768388,1.6839138798653164,0.21333392186634353,0.8311588260273892
Pure ar(1),month_3,0.0018977473611302698,2.1690153526189464,8.749349601600846e-4,0.9993022734340509
Pure ar(1),month_4,0.19486722381592408,2.5012230443355974,0.0779087751719027,0.937933704693843
Pure ar(1),month_5,0.0408406701663446,2.693844039434084,0.015160740402374707,0.9879103623675758
Pure ar(1),month_6,-0.2636001499631676,2.7591193762634543,-0.09553778362433485,0.9239283138020189
Pure ar(1),month_7,-0.20009575260918988,2.6992121018155877,-0.07413117052735435,0.9409374854624729
Pure ar(1),month_8,-0.89871531733999,2.510007092977815,-0.3580528994735926,0.7204641343387574
Pure ar(1),month_9,-0.5557789502442212,2.1810569595520204,-0.2548209242359153,0.7989726366309947
Pure ar(1),month_10,-0.518768057123894,1.694305398171246,-0.30618332307966906,0.759600362721192
Pure ar(1),month_11,0.12421444628680015,1.0211633423952187,0.12164013447196942,0.9032359050079033
Pure ar(1),intercept,0.95757480004321,0.6568976549358746,1.4577229692450144,0.14558333686643724
ar(1) + All Factors,ar1,0.6155463062598471,0.038517978964546985,15.980752957636042,8.487866993725298e-46
ar(1) + All Factors,total_starts_lag6,3.042628828173731e-4,0.002122286456398804,0.1433656054770574,0.8860660502628511
ar(1) + All Factors,total_comps_lag3,5.767132068192208e-4,0.0025577049755378446,0.22548073852729913,0.8217083591410558
ar(1) + All Factors,vacancy_rt_lag6,3.193152158959754,1.4546850034730616,2.195081513410876,0.028671244774567253
ar(1) + All Factors,trs10yr_rt_lag12,1.0371434595380293,0.9207460051835031,1.1264164641489032,0.260593636469241
ar(1) + All Factors,frm30yr_rt_lag3,-2.4498318061136994,1.0909264878090936,-2.2456433439742525,0.02521471809039203
ar(1) + All Factors,ppi_lag3,0.17542331095096955,0.1913750809589896,0.9166465668984437,0.35982214504994925
ar(1) + All Factors,hmi_lag24,0.06870723783086938,0.0689012114135278,0.9971847580226966,0.3192143319017632
ar(1) + All Factors,month_1,0.36075104412619474,1.0423076931164066,0.3461080125462582,0.7294243872088118
ar(1) + All Factors,month_2,0.4738091514004507,1.7240410879483654,0.27482474444056937,0.7835778622070043
ar(1) + All Factors,month_3,0.1612664423874623,2.2332242437087317,0.07221238209363424,0.9424651903681298
ar(1) + All Factors,month_4,-0.4051244723006557,2.5582239658961696,-0.15836161247075833,0.8742433779394381
ar(1) + All Factors,month_5,-0.3242271285642595,2.7513751796461325,-0.11784184540254518,0.9062459052691019
ar(1) + All Factors,month_6,-0.4743261278443176,2.8137980694495552,-0.1685714881228513,0.8662099571767284
ar(1) + All Factors,month_7,-0.6480896471383618,2.757198843924343,-0.23505364822216834,0.8142747334483169
ar(1) + All Factors,month_8,-1.471385109737843,2.5640519652057776,-0.5738515169366925,0.5663569045247343
ar(1) + All Factors,month_9,-0.9364080319939463,2.218695120073566,-0.42205349600394737,0.6731888844224256
ar(1) + All Factors,month_10,-0.6406823213753897,1.6988311387054875,-0.3771312561786399,0.7062550410125701
ar(1) + All Factors,month_11,0.12424208852219226,1.0085020861454332,0.12319467676765486,0.902008312442065
Pure ar(2),ar1,0.3711281379783987,0.04307745884137146,8.615367478964854,1.0604358633947888e-16
Pure ar(2),ar2,0.35237042052054746,0.043419671639920256,8.115455672782574,4.251183855776946e-15
Pure ar(2),month_1,0.29136194401177956,0.8659035400062348,0.336483142232773,0.7366564239308064
Pure ar(2),month_2,0.5215978072570177,1.3027974376202143,0.4003675415648703,0.689067356923476
Pure ar(2),month_3,0.25519707964821803,1.6936339047854683,0.15068019064045823,0.8802925090151571
Pure ar(2),month_4,0.5512494417066834,1.9636585418103414,0.2807257117107917,0.7790440541606221
Pure ar(2),month_5,0.3704113925842617,2.12781509377816,0.17408063025183135,0.8618768912700484
Pure ar(2),month_6,0.009590094241944699,2.1814144068289916,0.004396273450804481,0.9964941539565775
Pure ar(2),month_7,-0.005743816656145564,2.1292127702645813,-0.0026976245570008595,0.9978487517849526
Pure ar(2),month_8,-0.7746682976609834,1.9660364909604984,-0.3940253913000988,0.6937406200039478
Pure ar(2),month_9,-0.4953608681343416,1.6995915562313229,-0.2914587721492072,0.7708287853178641
Pure ar(2),month_10,-0.4950779217739564,1.3080522407164952,-0.3784848237427993,0.7052410004257457
Pure ar(2),month_11,0.12061929620802243,0.8656606022864726,0.13933786046105165,0.8892427322004823
ar(2) + All Factors,ar1,0.4199423057470153,0.045459599683778086,9.237703558064295,1.0244560393687675e-18
ar(2) + All Factors,ar2,0.32489752320256104,0.04621804440588766,7.0296683336340555,7.786421761112849e-12
ar(2) + All Factors,total_starts_lag6,4.763007971080148e-4,0.00223202849256368,0.21339369040085224,0.8311171940106854
ar(2) + All Factors,total_comps_lag3,2.0683324625574834e-4,0.0026989081329907086,0.07663589720875483,0.9389474897196717
ar(2) + All Factors,vacancy_rt_lag6,2.113585618100082,1.439238282187356,1.4685446074209838,0.1426596944831935
ar(2) + All Factors,trs10yr_rt_lag12,0.1578920522854416,0.8786963445389567,0.1796889827375872,0.8574781684026318
ar(2) + All Factors,frm30yr_rt_lag3,-2.2917103871250233,1.014326667035232,-2.2593415529766627,0.024342982549820157
ar(2) + All Factors,ppi_lag3,0.10616941450202798,0.17656862916777483,0.601292624870221,0.5479499019848455
ar(2) + All Factors,hmi_lag24,0.021858643817674547,0.06450120059796742,0.33888739457608424,0.7348536977013429
ar(2) + All Factors,month_1,0.38274648791731736,0.8938478650460936,0.428200930924168,0.668711081306435
ar(2) + All Factors,month_2,0.5575336166892758,1.3573675147490551,0.41074625009892807,0.6814554338447425
ar(2) + All Factors,month_3,0.35994362097089677,1.7581146386365647,0.20473273645570497,0.8378741311978275
ar(2) + All Factors,month_4,-0.20697572599939124,2.0095729452803597,-0.10299488082056937,0.9180132235166396
ar(2) + All Factors,month_5,-0.09554183079260936,2.164555455035193,-0.04413923910813177,0.9648131254653673
ar(2) + All Factors,month_6,-0.26938924093609085,2.2113892536202244,-0.12181900608184593,0.9030971057709809
ar(2) + All Factors,month_7,-0.3076115883231984,2.166282420778864,-0.1419997620682348,0.8871441712435
ar(2) + All Factors,month_8,-1.1878289644373452,2.0087016247983445,-0.5913416655679723,0.5545904313502668
ar(2) + All Factors,month_9,-0.6943351826613062,1.7356677495642086,-0.40003922573063877,0.6893187234926814
ar(2) + All Factors,month_10,-0.5797039743225333,1.322307624042273,-0.43840326092228643,0.6613057783929017
ar(2) + All Factors,month_11,0.1323112037973528,0.8552530133157736,0.15470416559468037,0.8771243731800921
ar(2) + Select Factors,ar1,0.4122784891000817,0.0451496885631873,9.1313695004362,2.351899182753119e-18
ar(2) + Select Factors,ar2,0.32454536696590763,0.045753520262542376,7.093342000869108,5.1556407492201485e-12
ar(2) + Select Factors,total_comps_lag3,3.782415326719771e-4,0.0027189367835169977,0.13911376497055378,0.8894229040361175
ar(2) + Select Factors,vacancy_rt_lag6,2.0304006215985817,1.4441647607470771,1.4059341958657408,0.16043838428209242
ar(2) + Select Factors,ppi_lag3,0.11699335984973046,0.17747038097523335,0.6592275240906668,0.5100891345496164
ar(2) + Select Factors,hmi_lag24,0.03329614763985801,0.06467806799441841,0.514798117388593,0.60694855283948
