.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-91.39040159059243,45.975155401928234,-1.9878214829646763,0.047443811478932306
Regression,total_starts_lag6,-0.08090851497791464,0.02385747563052461,-3.3913275750933045,7.576279124476313e-4
Regression,total_comps_lag3,0.16956542068924393,0.029426068471581503,5.762421876133514,1.550280790544143e-8
Regression,vacancy_rt_lag6,-27.975327893818996,3.2316359010867948,-8.65670785635564,8.98090007041767e-17
Regression,trs10yr_rt_lag12,-19.416201812537885,4.599916236083189,-4.220990299830048,2.9499867745355378e-5
Regression,frm30yr_rt_lag3,12.217364633097809,4.061715506460978,3.0079321443522145,0.0027794621076396363
Regression,ppi_lag3,2.505415036842298,0.10227770186265986,24.49619996552728,1.5779690060645425e-84
Regression,hmi_lag24,2.7562245295456216,0.3369759816097862,8.179290750571338,3.0158848179887667e-15
Pure ar(1),ar1,0.5948276918190191,0.037872719751876,15.705967137191267,4.3276252293047305e-45
Pure ar(1),month_1,0.3699508276814777,1.0475539614052103,0.35315682180726815,0.7241272182976877
Pure ar(1),month_2,0.7175582009474971,1.7433035050065722,0.4116083050867221,0.6808118143415344
Pure ar(1),month_3,0.5899226221478066,2.2554065326451926,0.26155933026226175,0.7937743398607102
Pure ar(1),month_4,1.0268837554613244,2.6064839612884425,0.39397278890360526,0.693777557348999
Pure ar(1),month_5,0.9726159750638211,2.8119962014655515,0.3458809704497164,0.7295849874806103
Pure ar(1),month_6,0.8230892772697203,2.880899207600516,0.2857056835234671,0.7752278374544979
Pure ar(1),month_7,1.0251910693084691,2.816321005755279,0.36401783291515594,0.7160063282387729
Pure ar(1),month_8,-0.07379089401412287,2.6159281022004333,-0.028208303566161615,0.9775078370451746
Pure ar(1),month_9,-0.3264949575952967,2.272150761975815,-0.14369423150045885,0.8858027384507208
Pure ar(1),month_10,-0.544302070937843,1.7564948666329427,-0.3098796821315087,0.7567880704576114
Pure ar(1),month_11,0.049052231094694615,1.049611551577424,0.046733699739656784,0.9627450714374932
ar(1) + All Factors,ar1,0.6410123196129868,0.03843748432595647,16.67675007492926,5.21396192418575e-49
ar(1) + All Factors,total_starts_lag6,9.580621816379776e-5,0.0021128298087737516,0.04534497656458281,0.9638523642438943
ar(1) + All Factors,total_comps_lag3,4.6041126564797625e-4,0.002512581774085025,0.18324230096576194,0.8546900715693785
ar(1) + All Factors,vacancy_rt_lag6,3.171853013554266,1.4659213229479073,2.163726636553591,0.031008571348673193
ar(1) + All Factors,trs10yr_rt_lag12,0.7983060366928726,0.9288152308741714,0.8594885292110599,0.390526648216016
ar(1) + All Factors,frm30yr_rt_lag3,-2.266500321431086,1.0947055221941533,-2.0704201042927664,0.038980269215635674
ar(1) + All Factors,ppi_lag3,0.16109923844292495,0.1885504906836332,0.8544090119247242,0.39333101333298537
ar(1) + All Factors,hmi_lag24,0.06448987174083959,0.06933621733394461,0.9301036921330229,0.35281386904028034
ar(1) + All Factors,month_1,0.4705428387430486,1.0675155132035414,0.440783138908194,0.6595807404354397
ar(1) + All Factors,month_2,0.7703597066214327,1.7734349965212701,0.43438846539769027,0.6642136606633537
ar(1) + All Factors,month_3,0.6911669004909011,2.3014278318330423,0.30032090988506044,0.7640704605671854
ar(1) + All Factors,month_4,0.3987920295288031,2.64022239156096,0.15104486304012749,0.8800077120004764
ar(1) + All Factors,month_5,0.6058605767108396,2.8453217600461937,0.21293218405675268,0.831475858599209
ar(1) + All Factors,month_6,0.6535320025425252,2.9121587681006607,0.22441496311987322,0.8225358365496984
ar(1) + All Factors,month_7,0.6984520033776809,2.85184486564419,0.24491234140813295,0.8066354531677358
ar(1) + All Factors,month_8,-0.5120742144765394,2.649936447305933,-0.19324018694755546,0.8468576689597067
