vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-08-01,2024 Aug,0,Regression,830.3153023062073,703.0618716081187,957.5687330042958,985,0.008597635916575697,846.6,0.4009757215592875
2024-08-01,2024 Sep,1,Regression,856.5616786573537,726.0539951848543,987.0693621298531,985,0.0268702883164057,840.65,0.5944339999539767
2024-08-01,2024 Oct,2,Regression,798.5782289948949,668.1495795498327,929.0068784399571,985,0.0025438375106543454,844.9,0.24318481178839213
2024-08-01,2024 Aug,0,Pure ar(1),883.2745280951344,870.784961667412,895.7640945228569,985,0,846.6,0.9999999956773867
2024-08-01,2024 Sep,1,Pure ar(1),881.3269869590058,858.0608633466684,904.5931105713432,985,0,840.65,0.9996945601687609
2024-08-01,2024 Oct,2,Pure ar(1),880.0682614212842,846.8485546178388,913.2879682247296,985,2.987471381388218e-10,844.9,0.9810051991850597
2024-08-01,2024 Aug,0,ar(1) + All Factors,883.9784174011379,872.3679926765618,895.588842125714,985,0,846.6,0.9999999998604759
2024-08-01,2024 Sep,1,ar(1) + All Factors,883.1140107325457,861.0246794854387,905.2033419796527,985,0,840.65,0.9999176728071557
2024-08-01,2024 Oct,2,ar(1) + All Factors,881.654571586568,849.5959379132773,913.7132052598586,985,1.3220213812559223e-10,844.9,0.9876831860997946
2024-08-01,2024 Aug,0,Pure ar(2),881.6029839955377,869.9005467487558,893.3054212423195,985,0,846.6,0.9999999977206161
2024-08-01,2024 Sep,1,Pure ar(2),877.3418993565153,857.4832064952817,897.200592217749,985,0,840.65,0.9998534892578348
2024-08-01,2024 Oct,2,Pure ar(2),873.6688443119394,844.2038295759276,903.1338590479513,985,6.52811138479592e-14,844.9,0.9721701780456251
2024-08-01,2024 Aug,0,ar(2) + All Factors,882.1307268795442,871.1008661979012,893.1605875611873,985,0,846.6,0.9999999998638583
2024-08-01,2024 Sep,1,ar(2) + All Factors,878.8028809809514,859.649583523799,897.9561784381037,985,0,840.65,0.9999527449093255
2024-08-01,2024 Oct,2,ar(2) + All Factors,875.3550434013005,846.8083524091361,903.9017343934648,985,2.5757174171303632e-14,844.9,0.9817371521448421
2024-08-01,2024 Aug,0,ar(2) + Select Factors,881.6207461832346,870.5620190993735,892.6794732670957,985,0,846.6,0.999999999729839
2024-08-01,2024 Sep,1,ar(2) + Select Factors,877.723599546352,858.5897596405505,896.8574394521536,985,0,840.65,0.9999269724762939
2024-08-01,2024 Oct,2,ar(2) + Select Factors,873.944236912657,845.4832567609649,902.405217064349,985,1.021405182655144e-14,844.9,0.9772588660872218
