vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-12-01,2024 Dec,0,Regression,793.5513492253115,664.9353896929641,922.1673087576588,NA,NA,837.25,0.2527276000005122
2024-12-01,2025 Jan,1,Regression,804.5267005436662,676.8033527363698,932.2500483509625,NA,NA,826.1999999999999,0.36972142745706904
2024-12-01,2025 Feb,2,Regression,810.7934304433096,684.248237123622,937.3386237629973,NA,NA,812.6,0.4888386043661477
2024-12-01,2024 Dec,0,Pure ar(1),766.7157086663616,753.9632471126184,779.4681702201048,NA,NA,837.25,0
2024-12-01,2025 Jan,1,Pure ar(1),758.5076106507171,734.3993293036723,782.6158919977619,NA,NA,826.1999999999999,1.862868992397182e-8
2024-12-01,2025 Feb,2,Pure ar(1),753.6980984606829,718.8833227783612,788.5128741430046,NA,NA,812.6,0.00045648854237012593
2024-12-01,2024 Dec,0,ar(1) + All Factors,765.499150552838,753.5950112858278,777.4032898198483,NA,NA,837.25,0
2024-12-01,2025 Jan,1,ar(1) + All Factors,756.1354873134688,733.1869489592698,779.0840256676679,NA,NA,826.1999999999999,1.0879199763280667e-9
2024-12-01,2025 Feb,2,ar(1) + All Factors,750.7716443064767,717.1147511569034,784.42853745605,NA,NA,812.6,1.587678313705876e-4
2024-12-01,2024 Dec,0,Pure ar(2),763.872282301162,751.9028687027358,775.8416958995883,NA,NA,837.25,0
2024-12-01,2025 Jan,1,Pure ar(2),749.2176569817658,728.6472787956709,769.7880351678607,NA,NA,826.1999999999999,1.1080025785759062e-13
2024-12-01,2025 Feb,2,Pure ar(2),737.6388198066993,706.920536964246,768.3571026491526,NA,NA,812.6,8.637192051574871e-7
2024-12-01,2024 Dec,0,ar(2) + All Factors,763.3878592163167,752.0621985907216,774.7135198419118,NA,NA,837.25,0
2024-12-01,2025 Jan,1,ar(2) + All Factors,747.1919439433191,727.2760876733798,767.1078002132583,NA,NA,826.1999999999999,3.774758283725532e-15
2024-12-01,2025 Feb,2,ar(2) + All Factors,734.4999536456534,704.6023791171591,764.3975281741476,NA,NA,812.6,1.5275403020265088e-7
2024-12-01,2024 Dec,0,ar(2) + Select Factors,763.4840161741062,752.1437580838233,774.824274264389,NA,NA,837.25,0
2024-12-01,2025 Jan,1,ar(2) + Select Factors,749.338056344499,729.4554280435566,769.2206846454415,NA,NA,826.1999999999999,1.765254609153999e-14
2024-12-01,2025 Feb,2,ar(2) + Select Factors,737.6192924584504,707.8310834177332,767.4075014991677,NA,NA,812.6,4.0370235776521213e-7
