vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-02-01,2024 Feb,0,Regression,918.7296089301492,791.9823351015727,1045.4768827587257,985,0.15272997421458934,803.25,0.9629308231995868
2024-02-01,2024 Mar,1,Regression,931.8428753057466,805.0364653285183,1058.649285282975,985,0.20564372397359376,814.3,0.965377427076122
2024-02-01,2024 Apr,2,Regression,932.2485110896587,805.5458083516455,1058.9512138276718,985,0.20724213941870706,823.65,0.9535156149410738
2024-02-01,2024 Feb,0,Pure ar(1),965.6558966065381,953.2003047198662,978.1114884932101,985,0.0011673937864674633,803.25,1
2024-02-01,2024 Mar,1,Pure ar(1),962.5388566572983,939.6455054536699,985.4322078609267,985,0.027240226291810776,814.3,1
2024-02-01,2024 Apr,2,Pure ar(1),961.8168867009165,929.4576591405739,994.176114261259,985,0.08012930720572586,823.65,1
2024-02-01,2024 Feb,0,ar(1) + All Factors,967.1963651547051,955.6246149651698,978.7681153442403,985,0.0012825926949758815,803.25,1
2024-02-01,2024 Mar,1,ar(1) + All Factors,965.151601073715,943.4116901924328,986.8915119549972,985,0.03676978620607507,814.3,1
2024-02-01,2024 Apr,2,ar(1) + All Factors,964.0625721076797,932.819749130966,995.3053950843934,985,0.0945077417663418,823.65,1
2024-02-01,2024 Feb,0,Pure ar(2),965.5754718739382,953.8722629927505,977.278680755126,985,5.707037134287107e-4,803.25,1
2024-02-01,2024 Mar,1,Pure ar(2),958.4759810513475,938.7236671023117,978.2282950003834,985,0.004244833961829952,814.3,1
2024-02-01,2024 Apr,2,Pure ar(2),954.0074387931742,924.7951620278081,983.2197155585402,985,0.018788081401770684,823.65,1
2024-02-01,2024 Feb,0,ar(2) + All Factors,966.9840758189605,955.980360270135,977.987791367786,985,6.659267964094218e-4,803.25,1
2024-02-01,2024 Mar,1,ar(2) + All Factors,962.2498132409582,943.2681243982687,981.2315020836478,985,0.009408785862466185,814.3,1
2024-02-01,2024 Apr,2,ar(2) + All Factors,957.6364197307275,929.4368316562072,985.8360078052478,985,0.028592530142082406,823.65,1
2024-02-01,2024 Feb,0,ar(2) + Select Factors,965.0192788093701,953.9671176239453,976.0714399947949,985,1.9750251800609853e-4,803.25,1
2024-02-01,2024 Mar,1,ar(2) + Select Factors,958.2374326199927,939.2355422505699,977.2393229894154,985,0.0028856880221932446,814.3,1
2024-02-01,2024 Apr,2,ar(2) + Select Factors,953.7792144143252,925.6244424985119,981.9339863301385,985,0.014873565419563195,823.65,1
