vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-06-01,2024 Jun,0,Regression,874.9340379638717,748.9944211972371,1000.8736547305062,985,0.04336012490665442,842.35,0.6939597191490743
2024-06-01,2024 Jul,1,Regression,882.7730348978794,754.3310838427618,1011.2149859529969,985,0.059384165062267735,849.15,0.6960527337637525
2024-06-01,2024 Aug,2,Regression,829.0158188112512,701.0419050925922,956.9897325299102,985,0.00844727420536795,846.6,0.3938445453022388
2024-06-01,2024 Jun,0,Pure ar(1),895.7445347280402,883.2410064747698,908.2480629813106,985,0,842.35,1
2024-06-01,2024 Jul,1,Pure ar(1),891.7418762742038,868.5337225267361,914.9500300216715,985,1.6653345369377348e-15,849.15,0.9998390550453439
2024-06-01,2024 Aug,2,Pure ar(1),889.1671390455467,856.1208172921553,922.2134607989382,985,6.582375311481314e-9,846.6,0.9942099179920916
2024-06-01,2024 Jun,0,ar(1) + All Factors,893.8158767154072,882.1803110044003,905.451442426414,985,0,842.35,1
2024-06-01,2024 Jul,1,ar(1) + All Factors,886.2231592212977,864.0838277422696,908.3624907003258,985,0,849.15,0.9994848058195034
2024-06-01,2024 Aug,2,ar(1) + All Factors,881.815686604577,849.6820067446719,913.9493664644821,985,1.5494627803036565e-10,846.6,0.9841426295612934
2024-06-01,2024 Jun,0,Pure ar(2),892.3752308261278,880.6505035538836,904.099958098372,985,0,842.35,1
2024-06-01,2024 Jul,1,Pure ar(2),882.9494570995299,863.0460616368839,902.8528525621759,985,0,849.15,0.9995633055904191
2024-06-01,2024 Aug,2,Pure ar(2),874.7108138377789,845.1581395786607,904.2634880968972,985,1.290079154614432e-13,846.6,0.9688652986042365
2024-06-01,2024 Jun,0,ar(2) + All Factors,891.9873010201175,880.9388119123953,903.0357901278396,985,0,842.35,1
2024-06-01,2024 Jul,1,ar(2) + All Factors,881.0787927080203,861.8887858154335,900.268799600607,985,0,849.15,0.9994450855630659
2024-06-01,2024 Aug,2,ar(2) + All Factors,872.6320589987574,844.0078582567435,901.2562597407714,985,7.105427357601002e-15,846.6,0.9626666973623739
2024-06-01,2024 Jun,0,ar(2) + Select Factors,891.1841649256331,880.1073385200198,902.2609913312465,985,0,842.35,1
2024-06-01,2024 Jul,1,ar(2) + Select Factors,880.8016202812431,861.6295041593187,899.9737364031675,985,0,849.15,0.9993934929821072
2024-06-01,2024 Aug,2,ar(2) + Select Factors,871.8124554580029,843.2716473647441,900.3532635512616,985,3.885780586188048e-15,846.6,0.9583124542960213
