vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-03-01,2024 Mar,0,Regression,933.5202114366492,806.9387769776863,1060.1016458956121,985,0.21269114682873413,814.3,0.967555208607417
2024-03-01,2024 Apr,1,Regression,933.9308819044843,807.4539528613481,1060.4078109476206,985,0.21435154631918052,823.65,0.9562755920431895
2024-03-01,2024 May,2,Regression,937.7075989127254,810.0194471498805,1065.3957506755703,985,0.23393977115018827,836.4,0.9400342558849859
2024-03-01,2024 Mar,0,Pure ar(1),947.5542399798646,935.0819451261209,960.0265348336084,985,1.9958403818520765e-9,814.3,1
2024-03-01,2024 Apr,1,Pure ar(1),943.88927988212,920.9105844160274,966.8679753482127,985,2.2693847603338924e-4,823.65,1
2024-03-01,2024 May,2,Pure ar(1),942.0639856480698,909.5265255912575,974.601445704882,985,0.004849344505278297,836.4,0.9999999999023645
2024-03-01,2024 Mar,0,ar(1) + All Factors,947.2997709086666,935.6977087258542,958.9018330914789,985,9.5190300086756e-11,814.3,1
2024-03-01,2024 Apr,1,ar(1) + All Factors,942.3392503966764,920.4921210312363,964.1863797621166,985,6.478369498486014e-5,823.65,1
2024-03-01,2024 May,2,ar(1) + All Factors,939.5323096060217,908.0794316052265,970.9851876068169,985,0.0023032236318026866,836.4,0.9999999999348133
2024-03-01,2024 Mar,0,Pure ar(2),945.4036003442536,933.6813425763975,957.1258581121098,985,1.7881363056915234e-11,814.3,1
2024-03-01,2024 Apr,1,Pure ar(2),936.3042451356467,916.4715026482268,956.1369876230667,985,7.455315452764566e-7,823.65,1
2024-03-01,2024 May,2,Pure ar(2),929.0734252417006,899.7119988009493,958.434851682452,985,9.447991720223925e-5,836.4,0.9999999996921242
2024-03-01,2024 Mar,0,ar(2) + All Factors,946.6727794910358,935.6371790560279,957.7083799260438,985,4.976463685579802e-12,814.3,1
2024-03-01,2024 Apr,1,ar(2) + All Factors,936.7714147156336,917.6855654319272,955.8572639993399,985,3.6580193374380343e-7,823.65,1
2024-03-01,2024 May,2,ar(2) + All Factors,929.1154532817039,900.7298013634871,957.5011051999207,985,5.697948272032072e-5,836.4,0.9999999999232757
2024-03-01,2024 Mar,0,ar(2) + Select Factors,945.5409081474414,934.4709012185803,956.6109150763026,985,1.4098722189714863e-12,814.3,1
2024-03-01,2024 Apr,1,ar(2) + Select Factors,936.6937685228513,917.607902770651,955.7796342750516,985,3.511071137163313e-7,823.65,1
2024-03-01,2024 May,2,ar(2) + Select Factors,929.8718594679799,901.5612015109191,958.1825174250407,985,6.764486678523252e-5,836.4,0.9999999999513965
