vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-10-01,2024 Oct,0,Regression,797.6257011168872,668.5184404642106,926.7329617695638,985,0.002223625507568494,844.9,0.23647748329704454
2024-10-01,2024 Nov,1,Regression,812.1540065941275,680.7063499589422,943.6016632293129,985,0.004978982386491748,842.35,0.3262655332972383
2024-10-01,2024 Dec,2,Regression,796.3453406993268,666.0468317531561,926.6438496454975,985,0.00227117130919241,837.25,0.26917714409664706
2024-10-01,2024 Oct,0,Pure ar(1),805.708366739664,792.9641261041221,818.452607375206,985,0,844.9,8.327012412934209e-10
2024-10-01,2024 Nov,1,Pure ar(1),794.3612533687043,770.371340413784,818.3511663236246,985,0,842.35,4.414077988246223e-5
2024-10-01,2024 Dec,2,Pure ar(1),787.2096803124439,752.6807763034022,821.7385843214855,985,0,837.25,0.002252210161976187
2024-10-01,2024 Oct,0,ar(1) + All Factors,803.3823971648329,791.4859069845864,815.2788873450794,985,0,844.9,3.95383725759757e-12
2024-10-01,2024 Nov,1,ar(1) + All Factors,790.0756982966153,767.2142423891651,812.9371542040656,985,0,842.35,3.702961278606587e-6
2024-10-01,2024 Dec,2,ar(1) + All Factors,780.9060414786287,747.4617671129811,814.3503158442763,985,0,837.25,4.7993075793706375e-4
2024-10-01,2024 Oct,0,Pure ar(2),802.9521313012599,790.9602309594994,814.9440316430204,985,0,844.9,3.5379477125729863e-12
2024-10-01,2024 Nov,1,Pure ar(2),782.5674048282696,761.9483038739764,803.1865057825627,985,0,842.35,6.6259995268325156e-9
2024-10-01,2024 Dec,2,Pure ar(2),766.14905622036,735.3756217127707,796.9224907279493,985,0,837.25,2.9700334749360735e-6
2024-10-01,2024 Oct,0,ar(2) + All Factors,801.8706023701416,790.5261649007639,813.2150398395192,985,0,844.9,5.262457136723242e-14
2024-10-01,2024 Nov,1,ar(2) + All Factors,781.5166351729393,761.5490014179554,801.4842689279233,985,0,842.35,1.1766125851409015e-9
2024-10-01,2024 Dec,2,ar(2) + All Factors,764.4509139770801,734.4895445578687,794.4122833962914,985,0,837.25,9.56807626351086e-7
2024-10-01,2024 Oct,0,ar(2) + Select Factors,802.1495303936356,790.788979867945,813.5100809193261,985,0,844.9,8.182343691487404e-14
2024-10-01,2024 Nov,1,ar(2) + Select Factors,781.382046333989,761.4475479170919,801.3165447508861,985,0,842.35,1.0206132605716789e-9
2024-10-01,2024 Dec,2,ar(2) + Select Factors,764.2878524180057,734.4357428870239,794.1399619489875,985,0,837.25,8.319313189453226e-7
