vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-09-01,2024 Sep,0,Regression,858.8373002834642,728.8106928965815,988.8639076703469,985,0.028601525128098437,840.65,0.6080162529276254
2024-09-01,2024 Oct,1,Regression,800.9907456403952,671.0886305308904,930.8928607498999,985,0.0027483632843553485,844.9,0.25382051686825324
2024-09-01,2024 Nov,2,Regression,816.1749814217371,683.6557006068579,948.6942622366164,985,0.006262928642427834,842.35,0.34932761813259394
2024-09-01,2024 Sep,0,Pure ar(1),844.6374696593965,831.9870642036873,857.2878751151057,985,0,840.65,0.7316469305022335
2024-09-01,2024 Oct,1,Pure ar(1),835.6672055882074,812.0396810440848,859.29473013233,985,0,844.9,0.221868457048232
2024-09-01,2024 Nov,2,Pure ar(1),831.1737393842739,797.3706237221468,864.9768550464009,985,0,842.35,0.2584824121980218
2024-09-01,2024 Sep,0,ar(1) + All Factors,844.670619954853,832.8752482935109,856.4659916161951,985,0,840.65,0.7479631521831799
2024-09-01,2024 Oct,1,ar(1) + All Factors,833.9174787100018,811.438960453622,856.3959969663815,985,0,844.9,0.1691287415098841
2024-09-01,2024 Nov,2,ar(1) + All Factors,828.5043773071789,795.838116796713,861.1706378176447,985,0,842.35,0.2030580894275129
2024-09-01,2024 Sep,0,Pure ar(2),847.6684300378039,835.8183421782994,859.5185178973084,985,0,840.65,0.8771476614679042
2024-09-01,2024 Oct,1,Pure ar(2),833.2818399897669,813.1505481248066,853.4131318547272,985,0,844.9,0.1289951155636041
2024-09-01,2024 Nov,2,Pure ar(2),824.0798450988153,794.1467674929966,854.0129227046341,985,0,842.35,0.1157860866992001
2024-09-01,2024 Sep,0,ar(2) + All Factors,847.5931528783138,836.3973644789083,858.7889412777193,985,0,840.65,0.887913958176761
2024-09-01,2024 Oct,1,ar(2) + All Factors,832.8988489778746,813.4491867041297,852.3485112516196,985,0,844.9,0.11325623858538314
2024-09-01,2024 Nov,2,ar(2) + All Factors,823.9210957250813,794.8618773718633,852.9803140782992,985,0,842.35,0.10693363796867827
2024-09-01,2024 Sep,0,ar(2) + Select Factors,847.225175362976,836.0084901252507,858.4418606007013,985,0,840.65,0.8747104729349344
2024-09-01,2024 Oct,1,ar(2) + Select Factors,832.6283223952444,813.1996613709052,852.0569834195835,985,0,844.9,0.10785988396806723
2024-09-01,2024 Nov,2,ar(2) + Select Factors,822.9938671016217,794.0253365028357,851.9623977004078,985,0,842.35,0.09516072901504802
