date,mf_underway,total_starts,total_comps,vacancy_rt,trs10yr_rt,frm30yr_rt,ppi,hmi,cast_desc,hmi_lag24,target_yoy,total_starts_lag6,total_comps_lag3,vacancy_rt_lag6,trs10yr_rt_lag12,frm30yr_rt_lag3,ppi_lag3,.model
1985 Jan,437,1711,1646,6.3,11.17,12.96,107.1,50,actual,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985 Feb,431,1632,1772,6.3,11.91,12.94,107,58,actual,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985 Mar,428,1800,1715,6.3,11.65,13.29,107.1,54,actual,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985 Apr,445,1821,1630,6.2,11.41,13.12,107.2,49,actual,NA,NA,NA,1646,NA,NA,12.96,107.1,NA
1985 May,445,1680,1665,6.2,10.28,12.71,107.9,51,actual,NA,NA,NA,1772,NA,NA,12.94,107,NA
1985 Jun,439,1676,1791,6.2,10.25,12.15,108.5,54,actual,NA,NA,NA,1715,NA,NA,13.29,107.1,NA
1985 Jul,437,1684,1693,6.8,10.57,12.03,108.2,58,actual,NA,NA,1711,1630,6.3,NA,13.12,107.2,NA
1985 Aug,439,1743,1685,6.8,10.28,12.11,107.9,58,actual,NA,NA,1632,1665,6.3,NA,12.71,107.9,NA
1985 Sep,438,1676,1806,6.8,10.31,12.17,107.4,56,actual,NA,NA,1800,1791,6.3,NA,12.15,108.5,NA
1985 Oct,452,1834,1565,6.7,10.01,12.07,107.5,59,actual,NA,NA,1821,1693,6.2,NA,12.03,108.2,NA
1985 Nov,458,1698,1749,6.7,9.59,11.58,107.3,58,actual,NA,NA,1680,1685,6.2,NA,12.11,107.9,NA
1985 Dec,469,1942,1732,6.7,9,11.09,107.6,57,actual,NA,NA,1676,1806,6.2,NA,12.17,107.4,NA
1986 Jan,469,1972,1723,6.9,9.08,10.89,106.7,57,actual,NA,437,1684,1565,6.8,11.17,12.07,107.5,NA
1986 Feb,475,1848,1753,6.9,8.13,10.51,106.7,55,actual,NA,431,1743,1749,6.8,11.91,11.58,107.3,NA
1986 Mar,473,1876,1756,6.9,7.39,10.1,106.9,57,actual,NA,428,1676,1732,6.8,11.65,11.09,107.6,NA
1986 Apr,496,1933,1685,7.3,7.38,9.86,107.6,62,actual,NA,445,1834,1723,6.7,11.41,10.89,106.7,NA
1986 May,486,1854,1833,7.3,8.05,10.38,107.7,64,actual,NA,445,1698,1753,6.7,10.28,10.51,106.7,NA
1986 Jun,487,1847,1672,7.3,7.35,10.62,107.4,65,actual,NA,439,1942,1756,6.7,10.25,10.1,106.9,NA
1986 Jul,482,1782,1722,7.5,7.34,10.4,107.5,59,actual,NA,437,1972,1685,6.9,10.57,9.86,107.6,NA
1986 Aug,480,1807,1763,7.5,6.95,9.93,107.4,55,actual,NA,439,1848,1833,6.9,10.28,10.38,107.7,NA
1986 Sep,474,1687,1732,7.5,7.45,10.1,107.7,57,actual,NA,438,1876,1672,6.9,10.31,10.62,107.4,NA
1986 Oct,465,1681,1782,7.7,7.34,9.89,107.6,64,actual,NA,452,1933,1722,7.3,10.01,10.4,107.5,NA
1986 Nov,456,1623,1793,7.7,7.15,9.5,107.6,59,actual,NA,458,1854,1763,7.3,9.59,9.93,107.4,NA
1986 Dec,444,1833,1840,7.7,7.23,9.29,107.3,64,actual,NA,469,1847,1732,7.3,9,10.1,107.7,NA
1987 Jan,432,1774,1862,7.4,7.18,9.08,107.6,63,actual,50,469,1782,1782,7.5,9.08,9.89,107.6,NA
1987 Feb,428,1784,1771,7.4,7.19,9.07,107.9,60,actual,58,475,1807,1793,7.5,8.13,9.5,107.6,NA
1987 Mar,412,1726,1694,7.4,7.51,9.03,108.1,60,actual,54,473,1687,1840,7.5,7.39,9.29,107.3,NA
1987 Apr,401,1614,1735,7.5,8.21,10.37,108.3,59,actual,49,496,1681,1862,7.7,7.38,9.08,107.6,NA
1987 May,392,1628,1713,7.5,8.49,10.7,108.3,55,actual,51,486,1623,1771,7.7,8.05,9.07,107.9,NA
1987 Jun,389,1594,1635,7.5,8.38,10.35,108.6,56,actual,54,487,1833,1694,7.7,7.35,9.03,108.1,NA
1987 Jul,380,1575,1685,8.1,8.66,10.27,109.2,55,actual,58,482,1774,1735,7.4,7.34,10.37,108.3,NA
1987 Aug,376,1605,1624,8.1,9,10.33,109.7,54,actual,58,480,1784,1713,7.4,6.95,10.7,108.3,NA
1987 Sep,375,1695,1587,8.1,9.63,11.02,110.5,52,actual,56,474,1726,1635,7.4,7.45,10.35,108.6,NA
1987 Oct,373,1515,1577,7.8,8.88,10.97,111.5,50,actual,59,465,1614,1685,7.5,7.34,10.27,109.2,NA
1987 Nov,375,1656,1578,7.8,8.99,10.55,112.2,56,actual,58,456,1628,1624,7.5,7.15,10.33,109.7,NA
1987 Dec,358,1400,1632,7.8,8.83,10.61,112.6,51,actual,57,444,1594,1587,7.5,7.23,11.02,110.5,NA
1988 Jan,354,1271,1554,8,8.26,10.16,113.9,53,actual,57,432,1575,1577,8.1,7.18,10.97,111.5,NA
1988 Feb,345,1473,1450,8,8.16,9.87,114,51,actual,55,428,1605,1578,8.1,7.19,10.55,112.2,NA
1988 Mar,339,1532,1600,8,8.57,9.99,114.2,51,actual,57,412,1695,1632,8.1,7.51,10.61,112.6,NA
1988 Apr,339,1573,1615,7.7,8.87,10.28,114.9,52,actual,62,401,1515,1554,7.8,8.21,10.16,113.9,NA
1988 May,338,1421,1483,7.7,9.2,10.58,115.2,54,actual,64,392,1656,1450,7.8,8.49,9.87,114,NA
1988 Jun,332,1478,1512,7.7,8.82,10.4,115.3,49,actual,65,389,1400,1600,7.8,8.38,9.99,114.2,NA
1988 Jul,328,1467,1527,7.8,9.12,10.49,115.9,54,actual,59,380,1271,1615,8,8.66,10.28,114.9,NA
1988 Aug,322,1493,1551,7.8,9.25,10.67,116.1,56,actual,55,376,1473,1483,8,9,10.58,115.2,NA
1988 Sep,321,1492,1531,7.8,8.87,10.42,116.3,53,actual,57,375,1532,1512,8,9.63,10.4,115.3,NA
1988 Oct,315,1522,1529,7.3,8.65,10.22,117.1,49,actual,64,373,1573,1527,7.7,8.88,10.49,115.9,NA
1988 Nov,315,1569,1407,7.3,9.06,10.39,117.4,58,actual,59,375,1421,1551,7.7,8.99,10.67,116.1,NA
1988 Dec,312,1563,1547,7.3,9.14,10.77,117.6,60,actual,64,358,1478,1531,7.7,8.83,10.42,116.3,NA
1989 Jan,311,1621,1561,7.5,9.01,10.6,118.3,54,actual,63,354,1467,1529,7.8,8.26,10.22,117.1,NA
1989 Feb,310,1425,1597,7.5,9.32,10.78,118.6,53,actual,60,345,1493,1407,7.8,8.16,10.39,117.4,NA
1989 Mar,312,1422,1442,7.5,9.3,11.19,118.9,48,actual,60,339,1492,1547,7.8,8.57,10.77,117.6,NA
1989 Apr,300,1339,1542,7.4,9.02,11.03,119.3,44,actual,59,339,1522,1561,7.3,8.87,10.6,118.3,NA
1989 May,298,1331,1449,7.4,8.6,10.5,119.6,44,actual,55,338,1569,1597,7.3,9.2,10.78,118.6,NA
1989 Jun,301,1397,1346,7.4,8.1,10.07,119.6,45,actual,56,332,1563,1442,7.3,8.82,11.19,118.9,NA
1989 Jul,300,1427,1386,7.6,7.82,9.81,119.8,46,actual,55,328,1621,1542,7.5,9.12,11.03,119.3,NA
1989 Aug,295,1332,1429,7.6,8.26,10.21,119.5,50,actual,54,322,1425,1449,7.5,9.25,10.5,119.6,NA
1989 Sep,287,1279,1338,7.6,8.31,10.16,119.9,51,actual,52,321,1422,1346,7.5,8.87,10.07,119.6,NA
1989 Oct,289,1410,1333,7.1,7.92,9.82,120.6,48,actual,50,315,1339,1386,7.4,8.65,9.81,119.8,NA
