Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9164731504872825,NA,NA,NA,NA,NA
adj_r_squared,0.9151767248850895,NA,NA,NA,NA,NA
sigma2,3896.7619717750035,42.913876311489076,37.537394700445226,37.89909834893624,33.994570454466114,34.18080030994143
statistic,706.9230574720472,NA,NA,NA,NA,NA
p_value,1.4034629748722734e-238,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2544.7408487665343,-1584.0386727226055,-1482.8279397444244,-1553.7012299605537,-1459.7382064600238,-1462.4599820138114
AIC,3804.8961240511785,3194.077345445211,3005.6558794888488,3135.4024599211075,2961.4764129200476,2960.919964027623
AICc,3805.2970149197754,3194.855123222989,3007.478005302298,3136.3018175228203,2963.4851085722216,2962.397285841878
BIC,3842.0575759417234,3248.3906189278687,3089.2147617698606,3193.893677517816,3049.21323931511,3036.122958080534
CV,3963.0165745337717,NA,NA,NA,NA,NA
deviance,1757439.6492705266,NA,NA,NA,NA,NA
df.residual,451,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-7.078095069630927e-15,0.2668919855671618,0.23540115150859595,0.18184980366385192,0.1769972517606166,0.18415899302798835
RMSE,61.87765793715563,6.462108359033611,6.153415146551432,6.066347645751272,5.8495091408991415,5.884522763753251
MAE,49.785137746307946,4.964500786825176,4.748859689766047,4.610617004554745,4.483737017388768,4.524271451673522
MPE,-5.029653534925977,0.0532793420889028,0.04758597704024892,0.05752046507709873,0.056551456359960915,0.05986353388178367
MAPE,16.783217089796025,1.475673598446074,1.443257832111457,1.350415157067992,1.3403467978405013,1.348440019338609
MASE,0.9745158290462573,0.09717728661768174,0.09295623447260445,0.09025021233252785,0.08776660856080583,0.088560047117373
RMSSE,0.884420767795743,0.09236327015286044,0.08795110109057785,0.08670664051345095,0.08360735583878251,0.08410780747577551
ACF1,0.9221813945632364,-0.20794438182918232,-0.19370898050604005,-0.045424276407353394,-0.044570744776933846,-0.04391416531168044
