Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.915920965151905,NA,NA,NA,NA,NA
adj_r_squared,0.9146274415388574,NA,NA,NA,NA,NA
sigma2,3965.919589745133,43.50023952306259,38.28312387883181,38.870059600540834,35.064889009410216,35.15919314047261
statistic,708.0821377461692,NA,NA,NA,NA,NA
p_value,4.4743468075344435e-240,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2571.0252177048874,-1600.5338092409932,-1500.3030470019912,-1572.7883870006829,-1479.6224179567641,-1481.7161633879816
AIC,3846.1133536622483,3227.0676184819863,3040.6060940039824,3173.5767740013657,3001.2448359135283,2999.4323267759632
AICc,3846.510704655626,3227.838804922664,3042.412545616886,3174.4684937465886,3003.236215223873,3000.8969948701815
BIC,3883.3528971490246,3281.488330592693,3124.330266481992,3232.1836947359725,3089.1552170154387,3074.784082006172
CV,4035.095127161522,NA,NA,NA,NA,NA
deviance,1804493.4133340355,NA,NA,NA,NA,NA
df.residual,455,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,9.494804750447087e-15,0.20986527110537145,0.191761096298096,0.1291337718386438,0.134950646629314,0.14075811799783786
RMSE,62.42911164899765,6.506845792250706,6.214005440130097,6.144318119708004,5.940714714073283,5.967815331713749
MAE,50.13063183054668,5.004987644800757,4.7862911717667815,4.677636835979992,4.554760571733967,4.589849650090293
MPE,-4.964018584645562,0.04540295445862833,0.04408274596000912,0.049480522535211555,0.05198408160571831,0.05480890725035965
MAPE,16.744471416821202,1.4763337201569517,1.4424184412516459,1.356770411206329,1.3477133730630366,1.3562920989145244
MASE,0.960047176531455,0.09585006375359269,0.09166182746398506,0.08958099814903422,0.08722780597402065,0.08789979372627865
RMSSE,0.8705142218952217,0.09073173800198174,0.08664835951825332,0.08567663652058714,0.08283758186243598,0.08321547404214232
ACF1,0.9183694298157948,-0.19778690399641108,-0.1823276134050972,-0.044976885430750735,-0.04422767660468564,-0.04417156479836283
