Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9147514139180729,NA,NA,NA,NA,NA
adj_r_squared,0.9134164248742843,NA,NA,NA,NA,NA
sigma2,3912.0196303554917,42.33424937516652,36.88924918965301,37.294910235249155,33.39111379123852,33.47724381723002
statistic,685.2126750958927,NA,NA,NA,NA,NA
p_value,1.8722995795180137e-234,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2523.418008747685,-1567.598505015455,-1465.9525733647679,-1536.9322049788889,-1442.964018595001,-1445.0187407443545
AIC,3773.601952279117,3161.19701003091,2971.9051467295358,3101.8644099577778,2927.928037190002,2926.037481488709
AICc,3774.0064466611398,3161.9814927895304,2973.743221127785,3102.7715373875835,2929.954352979476,2927.5276775671405
BIC,3810.6846290496756,3215.401949553299,3055.2973613793647,3160.238960212658,3015.4898625723226,3001.0904746735555
CV,3979.87500993615,NA,NA,NA,NA,NA
deviance,1748672.7747689048,NA,NA,NA,NA,NA
df.residual,447,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,9.349118701429404e-15,0.25840478778318077,0.2158610798710497,0.13561653376915744,0.12214468242558649,0.13183823583394422
RMSE,61.993845401168386,6.417577669958755,6.100290999733551,6.017048371519054,5.797523176415154,5.823976474665503
MAE,49.90114338386242,4.932605306690888,4.7169951376039805,4.567942535632528,4.439730552455755,4.474431327529478
MPE,-5.103923719889491,0.052487122081574626,0.04561059953275116,0.052236211556360566,0.0502238994724604,0.05316169654702134
MAPE,16.906069713240104,1.4790132506753817,1.4462644722216056,1.3522071760344516,1.341870181751518,1.3488494702149656
MASE,1.0034807716601537,0.0991916065204601,0.09485582092154583,0.09185846635406238,0.08928020359113109,0.08997801446653172
RMSSE,0.9182305213589361,0.09505485022932023,0.09035531428771468,0.0891223544445228,0.08587082627995636,0.08626264301090598
ACF1,0.9206798086343618,-0.20955367257769328,-0.19281181760927454,-0.0501310328771854,-0.05017680871963925,-0.0487134731314602
