Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9033567691506252,NA,NA,NA,NA,NA
adj_r_squared,0.9018087082445712,NA,NA,NA,NA,NA
sigma2,3988.5033154639273,40.38615965673571,34.85795597434317,35.65444913241656,31.519732875227426,31.797885274880535
statistic,583.5408449485652,NA,NA,NA,NA,NA
p_value,3.060877074990102e-217,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2472.1768764628464,-1523.088841358533,-1420.5965943417598,-1494.0684622924346,-1398.3689770662672,-1401.7877028102741
AIC,3699.4984583735336,3074.177682717066,2883.1931886835196,3016.136924584869,2838.7379541325345,2839.5754056205483
AICc,3699.912251476982,3075.104835034947,2885.2649375624433,3017.06407690275,2840.809703011458,2841.0987909212163
BIC,3736.3811269130297,3132.256238859913,2970.3110228977903,3074.215480727716,2925.855788346805,2914.2478349470657
CV,4066.929263140621,NA,NA,NA,NA,NA
deviance,1742975.9488577363,NA,NA,NA,NA,NA
df.residual,437,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-8.78911487908907e-15,0.012262143824613634,0.011214224094134336,0.31341025553392754,0.289368399722327,0.29758364942831084
RMSE,62.584342171773,6.2594410814430566,5.923930572715212,5.88133804656866,5.633136378289517,5.676849549413538
MAE,50.5929856873568,4.839579009253125,4.637983409350937,4.504398041866764,4.355870257815667,4.40389443178029
MPE,-5.223579649384745,-0.08808627650670373,-0.0820446658257023,0.07265527652819656,0.06573642622342148,0.06918312994956304
MAPE,17.248822314933083,1.484034463783159,1.4648256264443276,1.3606635440678225,1.3467567938275538,1.3559626762656989
MASE,1.043695863274593,0.09983693437587135,0.09567816630133068,0.09292239900388712,0.08985838070788425,0.09084908388586613
RMSSE,0.9526516226650528,0.09528048863797922,0.09017338645444108,0.08952504794453796,0.08574695083863047,0.08641234767684977
ACF1,0.9213935204172756,-0.18649127023525783,-0.1773591767860346,-0.0555395608546782,-0.05664136803445262,-0.05363461190794832
