Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9153240563815032,NA,NA,NA,NA,NA
adj_r_squared,0.9140009947624641,NA,NA,NA,NA,NA
sigma2,3904.509750393621,42.254607091749826,36.834929998458904,37.270247945961266,33.38470418934692,33.46863527411758
statistic,691.822696093577,NA,NA,NA,NA,NA
p_value,1.2165284306895284e-235,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2528.5348199154296,-1570.4377762565316,-1468.8368550249365,-1539.9951387884644,-1446.0836724033998,-1448.1252483021353
AIC,3780.9976975481977,3166.875552513063,2977.673710049873,3107.9902775769287,2934.1673448067995,2932.2504966042707
AICc,3781.4012849921437,3167.658348211988,2979.507771185244,3108.8954499907218,2936.189226644874,2933.7374531260098
BIC,3818.100132833827,3221.107660279405,3061.107721998091,3166.3940859406816,3021.7730573524286,3007.341107357667
CV,3971.262866685787,NA,NA,NA,NA,NA
deviance,1749220.3681763422,NA,NA,NA,NA,NA
df.residual,448,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,1.412597499985991e-14,0.263809019708535,0.2245604951957184,0.14917834964077642,0.13732054653564646,0.14689696815429185
RMSE,61.93552760196754,6.41172453268346,6.095739776228807,6.015247214166462,5.796925081551333,5.8231445159844855
MAE,49.83350770944861,4.926784361239354,4.714134332134709,4.568547987126425,4.442552742415802,4.475877145190049
MPE,-5.087147411822,0.0531028178536357,0.046477840852440826,0.05372661539494952,0.05162751712633013,0.05463329119913412
MAPE,16.869849135210604,1.4762905552821186,1.4435827088417594,1.350364454440908,1.3398163401503376,1.3465890783100296
MASE,0.995011801186994,0.09837173433423001,0.09412581029220717,0.09121892819553593,0.08870321615472483,0.0893685952450592
RMSSE,0.908446789985537,0.09404473967543579,0.08940999530819038,0.08822936098642956,0.08502709488430452,0.08541167158798751
ACF1,0.9212360128134833,-0.20829324190444495,-0.1908341291734929,-0.04833202030979703,-0.047660264230453844,-0.04616277351445886
