Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9104993178978639,NA,NA,NA,NA,NA
adj_r_squared,0.9090818862808617,NA,NA,NA,NA,NA
sigma2,3950.080846909907,40.61024975243728,35.168628175645736,35.72275614719215,31.724368665463277,31.89824976637816
statistic,642.3585497715608,NA,NA,NA,NA,NA
p_value,3.983505597774933e-227,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2497.821905470616,-1540.756923390866,-1439.0830812583945,-1510.5691051319166,-1415.5629245526566,-1418.2605555988976
AIC,3736.599131057027,3109.513846781732,2918.166162516789,3049.138210263833,2873.125849105313,2872.521111197795
AICc,3737.008221966118,3110.4308773494176,2920.024569596435,3050.055240831519,2875.174629593118,2874.0277191273103
BIC,3773.5823593019063,3167.741182220619,3001.3480702866277,3107.3655457027203,2960.466852263644,2947.38482819065
CV,4024.6101461130424,NA,NA,NA,NA,NA
deviance,1745935.734334179,NA,NA,NA,NA,NA
df.residual,442,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-1.429720539489507e-14,0.01215673788120498,0.35283820230331736,0.25000034101462526,0.23305235339494623,0.24394398154377883
RMSE,62.28849964005624,6.2778014383213625,5.956612980870397,5.887924391918973,5.651182571512477,5.685381232886956
MAE,50.25389998303477,4.859523131815299,4.652815629288024,4.511967085839107,4.370437683045886,4.414305156593028
MPE,-5.165745170846619,-0.06501959080649473,0.0600430530970801,0.06569079909881562,0.06182878613925216,0.06535131161967044
MAPE,17.079199501254358,1.4758077441791537,1.4471909359818225,1.352319598821976,1.3394642065054942,1.347550634882715
MASE,1.0358855035988965,0.10016953049117336,0.09590866107754728,0.09300534482923604,0.09008799400201667,0.0909922358607049
RMSSE,0.9488178947768036,0.0956274493518927,0.09073490325130791,0.08968859514081091,0.08608239372414896,0.08660332940372105
ACF1,0.9211068845938121,-0.1956969239820269,-0.19175055527925924,-0.05175120395632472,-0.05073881044818267,-0.04932194495131998
