Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9092956284738246,NA,NA,NA,NA,NA
adj_r_squared,0.9078558765448377,NA,NA,NA,NA,NA
sigma2,3958.162667417219,40.697616733030664,35.24348320117998,35.7856835189678,31.77675910668722,31.939970971216617
statistic,631.5640980690721,NA,NA,NA,NA,NA
p_value,2.5107146933693912e-225,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2492.7209953704337,-1537.9926064038373,-1436.3605767032032,-1507.7801489133076,-1412.7872518584932,-1415.4059352774013
AIC,3729.235187923072,3103.9852128076745,2912.7211534064063,3043.560297826615,2867.5745037169863,2866.8118705548027
AICc,3729.645210702115,3104.9042500067994,2914.5836811225927,3044.47933502574,2869.6278370503196,2868.321804329637
BIC,3766.198393912752,3162.182918605872,2995.8607331181174,3101.7580036248128,2954.871062414283,2941.637492295343
CV,4033.461756969498,NA,NA,NA,NA,NA
deviance,1745549.7363309935,NA,NA,NA,NA,NA
df.residual,441,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,2.5989132585670436e-14,0.012294013692898226,0.3491824099966487,0.24323003079523722,0.22279365184134498,0.23052644182038923
RMSE,62.350931115598975,6.284348503298601,5.9630073222717614,5.892918446090638,5.655888611233292,5.689181463802178
MAE,50.3256046303129,4.868135201147577,4.661086260449689,4.515508313244799,4.374063427953609,4.415839381392642
MPE,-5.175729280715409,-0.06557008787603583,0.05942209167088682,0.06508154509508617,0.06030596746818789,0.0633071547494575
MAPE,17.11406588522448,1.4787199569672123,1.4502805564437304,1.3543571851861884,1.3414208713232545,1.3492456294077233
MASE,1.0395708981751242,0.10056057390012246,0.09628358498307597,0.09327639612877411,0.0903545835142095,0.09121754513698113
RMSSE,0.9509437712751095,0.09584559458549559,0.09094466705988867,0.08987570819997139,0.08626065320350204,0.08676841836774099
ACF1,0.9215936535076783,-0.1953728282968508,-0.1920946857869418,-0.05241685993025147,-0.05151181672014583,-0.05019026809986427
