Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9050470921274327,NA,NA,NA,NA,NA
adj_r_squared,0.9035295799011588,NA,NA,NA,NA,NA
sigma2,3982.421846074448,40.49454808176614,35.04081474691444,35.770610486782566,31.70266366128609,31.90065522631117
statistic,596.4018453740445,NA,NA,NA,NA,NA
p_value,2.016867853695233e-219,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2477.4012045703494,-1526.9897814306237,-1424.960029474372,-1498.0424121608926,-1402.806693479063,-1405.6599614155218
AIC,3707.109237522131,3081.9795628612474,2891.920058948744,3024.084824321785,2847.613386958126,2847.3199228310436
AICc,3707.522081558828,3082.904672993406,2893.987173042704,3025.009934453944,2849.6805010520857,2848.8399228310436
BIC,3744.012108090312,3140.088001619495,2979.0827170861157,3082.193263080033,2934.7760450954975,2922.0307726630767
CV,4060.2134012076112,NA,NA,NA,NA,NA
deviance,1744300.768580608,NA,NA,NA,NA,NA
df.residual,438,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-1.4262460793855054e-14,0.011557065693549633,0.011258420636568532,0.2877895225633739,0.26025358569342033,0.2725129441501258
RMSE,62.53789467482982,6.268040164246491,5.939403614382464,5.891103711560998,5.649416808648644,5.685931060352184
MAE,50.54687257911921,4.848374418349213,4.652136866450235,4.5161633569945625,4.373073395144911,4.416030407685773
MPE,-5.208665390982132,-0.08197790145409031,-0.07432775724815371,0.06988370562643813,0.06288905222161216,0.06658812202479476
MAPE,17.211006560551056,1.4823353427466373,1.462592785877333,1.359963618801401,1.3458080257653495,1.3551790527347751
MASE,1.0445076539088882,0.10018748798068668,0.09613240772578087,0.09332263208371727,0.0903658010727472,0.09125347079588901
RMSSE,0.9529563190747534,0.09551278490890937,0.0905050007725832,0.08976900385673342,0.08608616383524749,0.08664257026814873
ACF1,0.9213808896589758,-0.18704686721501873,-0.17750604816752064,-0.053973888899646265,-0.05410934030197316,-0.051728033415854864
