Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9080416023609277,NA,NA,NA,NA,NA
adj_r_squared,0.9065786278530333,NA,NA,NA,NA,NA
sigma2,3964.814386431502,40.70600774046861,35.27185937762013,35.85966836893143,31.8455221657264,32.00460339476816
statistic,620.6817668121075,NA,NA,NA,NA,NA
p_value,1.6941307098309301e-223,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2487.5363253157593,-1534.7657124870923,-1433.3371463075682,-1505.0564579182414,-1410.1204581815796,-1412.7043838880932
AIC,3721.703724880132,3097.5314249741846,2906.6742926151364,3038.112915836483,2862.240916363159,2861.4087677761863
AICc,3722.1146837842416,3098.4524776057633,2908.540959281803,3039.0339684680616,2864.2988228219565,2862.9220421124696
BIC,3758.646863971867,3155.6994382904145,2989.7714544954647,3096.280929152713,2949.492936337504,2936.196213468482
CV,4040.98276200369,NA,NA,NA,NA,NA
deviance,1744518.3300298608,NA,NA,NA,NA,NA
df.residual,440,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-1.0298503431486828e-14,0.012076995887948347,0.36468837004997734,0.24830149862179268,0.22642672412963885,0.236392658897962
RMSE,62.402036261094395,6.284793246793903,5.965466175705947,5.898816333608766,5.6620467527413645,5.695018566778172
MAE,50.36297218809972,4.8648538247235615,4.661450383381948,4.522244686360362,4.381994303529028,4.422385230503124
MPE,-5.186586587374739,-0.06967453953525478,0.06129254172839714,0.06567806769730239,0.06075475346166992,0.06397434370407298
MAPE,17.14069190314881,1.4800371466446793,1.4535178336738934,1.357041927614705,1.3444662700490637,1.3521895212647417
MASE,1.041820713519174,0.10063555153001026,0.09642789838358123,0.09354825541780665,0.09064700182683604,0.09148253838338972
RMSSE,0.9522291424480471,0.09590333332742562,0.09103053491760658,0.09001348602325718,0.08640048060779584,0.08690361678870281
ACF1,0.9214196353496555,-0.19214767329302,-0.18963557866015557,-0.05202618090253352,-0.05142137193018682,-0.05011255642337359
