Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9141457229447065,NA,NA,NA,NA,NA
adj_r_squared,0.9127982342913723,NA,NA,NA,NA,NA
sigma2,3918.7824883201065,42.194345776854895,36.76231527768033,37.35702803375686,33.438499811813145,33.531623118096824
statistic,678.4069911703966,NA,NA,NA,NA,NA
p_value,3.0872643331752743e-233,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2518.2551711538813,-1563.5099856907616,-1461.9402518032289,-1534.0950135243531,-1440.104199134228,-1442.2049620037938
AIC,3766.1141541579195,3153.019971381523,2963.8805036064578,3096.1900270487063,2922.208398268456,2920.4099240075875
AICc,3766.519559563325,3153.8061484873547,2965.7226088696157,3097.0991179577973,2924.2391674992255,2921.903373789247
BIC,3803.1770289402916,3207.1976857630716,3047.230833424225,3154.535257921143,3009.726244577111,2995.425220843578
CV,3987.9815931852795,NA,NA,NA,NA,NA
deviance,1747776.9897907674,NA,NA,NA,NA,NA
df.residual,446,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-3.692556654167035e-15,0.2867389589788659,0.24104710940127533,0.14479621147440977,0.13320864585643652,0.1416665859118022
RMSE,62.04618483357838,6.406777724256422,6.089845016795174,6.021867578863775,5.801677262798314,5.8287882379016605
MAE,49.95528511218539,4.9178942700274,4.702270531656334,4.571036783544951,4.4409861296606294,4.477836864524217
MPE,-5.122998798416196,0.05595804716186435,0.04775127848257546,0.05328368633510937,0.051212544650129845,0.05416690594632918
MAPE,16.94334006593696,1.477489068659261,1.445116023622989,1.3541234695488211,1.3432589110688669,1.350966251404762
MASE,1.0115657611905615,0.09958452743374475,0.09521827087958334,0.09256086303967093,0.08992741217667638,0.09067361834042865
RMSSE,0.9276809813198658,0.09579067370988391,0.09105206736593836,0.09003570549780812,0.08674353904095625,0.08714888767046294
ACF1,0.9204176084793697,-0.20168652453031283,-0.18427120393346358,-0.0496166826794254,-0.04916309245971668,-0.047838993412557276
