Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9134050786886465,NA,NA,NA,NA,NA
adj_r_squared,0.9120429113871196,NA,NA,NA,NA,NA
sigma2,3927.506096108965,42.279685129424486,36.84185753763399,37.4351725526844,33.50192400952666,33.597160420282
statistic,670.5527857442864,NA,NA,NA,NA,NA
p_value,7.070224837349672e-232,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2513.203036428857,-1560.698839196006,-1459.2083298338289,-1531.3650953833737,-1437.3633621023394,-1439.4749492552182
AIC,3758.8477617742806,3147.397678392012,2958.4166596676578,3090.7301907667475,2916.7267242046787,2914.9498985104365
AICc,3759.254082316041,3148.185557179891,2960.2628135138116,3091.641253673472,2918.7619664954277,2916.4466162347253
BIC,3795.890790903628,3201.5481104970204,3041.725016752286,3149.0460407259875,3004.2004991435388,2989.927419886602
CV,3998.2798525735984,NA,NA,NA,NA,NA
deviance,1747740.2127684893,NA,NA,NA,NA,NA
df.residual,445,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-1.3068024250404789e-14,0.2924564993292883,0.23959427809736972,0.14179773597252024,0.1264369795852055,0.1358391005602345
RMSE,62.11397721166995,6.413065460097759,6.096488493631177,6.027971990167243,5.8072188744654145,5.834565615582483
MAE,50.0506614557544,4.92544486204747,4.711156251176514,4.578232865430858,4.444873804241645,4.482858154348639
MPE,-5.132210295620128,0.05666273604260681,0.0476331144251002,0.05303507074084444,0.05054467086167599,0.05358151570515076
MAPE,16.97742495984851,1.4803310569940564,1.448052641410806,1.356552731792077,1.344932139989504,1.3529129117108971
MASE,1.0197413826808832,0.10035191959216902,0.09598596401862504,0.09327775850788018,0.09056067646551134,0.09133457660132836
RMSSE,0.9358362090543176,0.0966220348142108,0.09185234848157744,0.09082004902600019,0.08749408652594451,0.0879061044273224
ACF1,0.9206186150554954,-0.20101429512171587,-0.1848192886472601,-0.04955367305342597,-0.04866532471063415,-0.047491053240387986
