Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9126118033530443,NA,NA,NA,NA,NA
adj_r_squared,0.9112340615140156,NA,NA,NA,NA,NA
sigma2,3934.1809398087757,41.65937100034344,36.21821790193009,36.55501434025578,32.62970754990788,32.75162733606236
statistic,662.3968130317563,NA,NA,NA,NA,NA
p_value,1.8051973306635492e-230,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2508.0299016098143,-1553.881705587218,-1452.1165036043903,-1522.4632490239367,-1428.2149509120318,-1430.5264377392632
AIC,3751.339369202604,3133.763411174436,2944.2330072087807,3072.9264980478733,2898.4299018240636,2897.0528754785264
AICc,3751.7466090216085,3134.5529990269306,2946.083227473098,3073.8395415261343,2900.469636923401,2898.5528754785264
BIC,3788.362508821094,3187.886503626886,3027.4993032894736,3131.212905304358,2985.859512708791,2971.99254195115
CV,4006.318364682888,NA,NA,NA,NA,NA
deviance,1746776.3372750964,NA,NA,NA,NA,NA
df.residual,444,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,4.122409149539433e-15,0.34723578355907936,0.2948304435104938,0.20060176117504652,0.1868265031965015,0.19653457932120147
RMSE,62.16550022922854,6.365659044408662,6.044727711369806,5.956497868685929,5.7311671067355565,5.760762401899842
MAE,50.09962175203677,4.897519663879997,4.682194430982162,4.542317705154051,4.400476933946478,4.444552752481167
MPE,-5.150575655975787,0.06293864411149933,0.05371133806561419,0.06012850507190155,0.057708546748019514,0.0607686531253642
MAPE,17.013580860062955,1.4789584110402252,1.4457736985121077,1.3526162800444224,1.337562180951151,1.3478698163617362
MASE,1.0258704542341157,0.10028460388527444,0.0958754729027239,0.09301127163245719,0.09010685336942478,0.09100937674983502
RMSSE,0.9417319350721935,0.09643201434551012,0.09157029387075266,0.09023371875794216,0.08682023099221443,0.08726856382121644
ACF1,0.9207046173017628,-0.20428516294224194,-0.1903093900427952,-0.05451903116077096,-0.0540275814144514,-0.053212892217326266
